item,real part (mfr+model),vendor,qty,unit_price_est_usd,mass_g,honesty_note
# DELTA BOM -- parts ADDED on top of FINAL_PRODUCT/BOM_v2.csv for the v2 SEALED and CARGO configurations. Every row was checked against a live vendor listing (see honesty_note for what is vendor-stated vs estimated). Masses feed V2_CONFIG.md ledgers.,,,,,,
tilt-thrust servo,KST DS215MG V8.0,KST Servos (kstservos.com),2,34.99,20,"20 g +/-10% vendor-stated, 23x12x27.5 mm, hardened steel gears. 3.1 kgf.cm @6.0 V rising to 4.0 @8.4 V -- it is an HV servo, so a 5 V BEC costs ~25% of rated torque. Vendor quotes 5 working days. Qty 2 = port/stbd tilt pair. V2_CONFIG bills ONE 20 g servo in the +30 g pod delta; a two-servo tilt costs +20 g more."
tilt-thrust servo (alternate),Savox SH-0255MG,RC Superstore,2,40.99,15.8,"15.8 g and 3.9 kgf.cm @6 V -- beats the KST on a standard 5-6 V BEC. Caveat: plain SH-0255MG is superseded by the SH-0255MGP and the listing title mentioned 'Soft Start' (an MGP feature), so which die ships is uncertain. HobbyTown shows back-order."
pitot / airspeed sensor,Matek ASPD-DLVR (Honeywell DLVR-L10D),ReadyMadeRC,1,110.32,10,"+/-2500 Pa full scale. Kit = board + pitot tube + 40 cm tubing + 2x JST-GH, so no separate tube purchase. I2C or DroneCAN. Board 4 g vendor-stated; 10 g installed (tube+tubing+cable) is ESTIMATED. ArduPilot documents DLVR as its highest-precision lowest-drift airspeed sensor."
pitot / airspeed sensor (budget alt),Matek ASPD-4525 (TE MS4525DO),ReadyMadeRC,1,49.87,10,"Same kit contents, in stock. HONEST FIT WARNING: MS4525DO is +/-6895 Pa FS and this aircraft cruises at 4.0-5.3 m/s where q is only 10-16 Pa -- far below a typical +/-1% FS error band. The MS4525DO is the wrong sensor for THIS airframe; the DLVR's +/-2500 Pa is already marginal. Board 3.5 g stated, 10 g installed est."
regen-capable ESC,Flipsky Mini FSESC4.20 50A (VESC 4.12),flipsky.net,1,56.00,80,"Sale price; regular $85.00. VESC firmware does regen via 'Battery Current Max Regen'; the VESC project forum confirms it lifts low-RPM windmill output up to pack voltage. REPLACES the 38 g / $17.32 Hobbywing Skywalker 30A (which cannot regen) -- so the true delta is +42 g and +$38.68, NOT +80 g. 8-60 V, 3-13S. No MPPT and no BMS charge arbitration: the regen current must be handled by the pack/charge path."
metallized barrier film (hull),CS Hyde 48-1F-1M metalized polyester 25.4 um,CS Hyde Company,2,60.65,273,"$7.83/m2; 7.74 m2 per 40 in x 25 ft roll, so 2 rolls = 15.5 m2 covers a 9-14 m2 hull. Areal density 35.3 g/m2 is CALCULATED (25.4 um x 1.39 g/cc PET), NOT vendor-stated. HONEST GAP: the V2_CONFIG sealed ledger assumes 70 g/m2 (2x LLDPE) for a LAMINATE with a PE sealant layer; this bare met-PET has no sealant, so seams must be taped/adhesive-bonded rather than heat-sealed. It is lighter than the ledger assumes and weaker at the seam."
metallized barrier film (cheap alt),Mylar emergency space blanket 84 in x 52 in,BagsInBulk.com,100,0.75,54,"$0.266/m2 -- 30x cheaper and 45% lighter than the CS Hyde roll (19.3 g/m2 DERIVED from the 12.0 lb per-100 carton weight, which includes poly wrappers, so the film is likely lighter still). 5 blankets = 14.1 m2 = 272 g. MOQ is a 100-case at $75.00. HONEST FAILURE MODE: blankets ship pre-creased and folded metallized PET flex-cracks its aluminium layer along the folds -- that is exactly where helium escapes. Not recommended for a 6-month seal."
NOT FOUND -- heat-sealable barrier laminate,"PET12/PE30 or nylon/EVOH laminate, quote-only",IMPAK / Sorbent Systems / Caltex / Goodfellow,1,0.00,0,"HONESTY FLAG: no vendor with PUBLISHED small-lot pricing for the PET12/PE30 heat-sealable laminate the sealed-hull ledger actually assumes. All four vendors above sell the right structure quote-only; Alibaba mills quote 500-2000 m2 MOQ. Consumer PET/AL/PE mylar bags ARE heat-sealable and near-zero permeation but carry a 7-9 um aluminium FOIL layer, putting them over 100 g/m2 -- too heavy for a hull. The sealed config's film line is therefore a SPECIFICATION, not a sourced part."
Iridium satcom,Rock Seven RockBLOCK 9603,Ground Control (groundcontrol.com),1,302.00,39,"39 g INCLUDING antenna (vendor-stated), 45x45x15 mm -- heavier than the 35 g the config assumed, so +4 g on the satcom sub-config. RECURRING: $17.00/mo line rental + credits $0.20 (50-pack) to $0.10 (5000-pack), 1 credit = 50 bytes. One position report per hour ~ 720 credits/mo = $72-144 + $17 rental. One per 15 min ~ $305/mo. The satcom option is a subscription, not a part."
